run_id,source_root,is_ensemble,ensemble_size,feature_type,model,n_classes,total_samples,total_tp,total_fp,total_fn,accuracy,precision,recall,f1,auc,report_path
mel__efficientnet_b0__ep40__seed0,./best_models,False,1,mel,efficientnet_b0,8,733,724,9,9,0.988,0.990,0.989,0.989,0.994,./best_models\mel__efficientnet_b0__ep40__seed0\classification_report_test.txt
mel__mobilenetv3_small__ep40__seed2,./best_models,False,1,mel,mobilenetv3_small,8,733,728,5,5,0.993,0.995,0.991,0.993,0.995,./best_models\mel__mobilenetv3_small__ep40__seed2\classification_report_test.txt
mel__resnet_small__ep60__seed0,./best_models,False,1,mel,resnet_small,8,733,715,18,18,0.975,0.976,0.980,0.978,0.988,./best_models\mel__resnet_small__ep60__seed0\classification_report_test.txt
mel__tinycnn__ep60__seed0,./best_models,False,1,mel,tinycnn,8,733,644,89,89,0.879,0.867,0.858,0.854,0.920,./best_models\mel__tinycnn__ep60__seed0\classification_report_test.txt
wst1__efficientnet_b0__ep20__seed2,./best_models,False,1,wst1,efficientnet_b0,8,733,716,17,17,0.977,0.980,0.964,0.971,0.980,./best_models\wst1__efficientnet_b0__ep20__seed2\classification_report_test.txt
wst1__mobilenetv3_small__ep60__seed1,./best_models,False,1,wst1,mobilenetv3_small,8,733,720,13,13,0.982,0.987,0.973,0.980,0.985,./best_models\wst1__mobilenetv3_small__ep60__seed1\classification_report_test.txt
wst1__resnet_small__ep40__seed2,./best_models,False,1,wst1,resnet_small,8,733,724,9,9,0.988,0.988,0.990,0.989,0.994,./best_models\wst1__resnet_small__ep40__seed2\classification_report_test.txt
wst1__tinycnn__ep20__seed0,./best_models,False,1,wst1,tinycnn,8,733,576,157,157,0.786,0.816,0.691,0.709,0.829,./best_models\wst1__tinycnn__ep20__seed0\classification_report_test.txt
mel__mobilenetv3_small__ep40__seed0__PLUS__mel__mobilenetv3_small__ep40__seed1,./ensemble_models/final models,True,2,mel,mobilenetv3_small,8,733,727,6,6,0.992,0.993,0.992,0.992,0.995,./ensemble_models/final models\mel__mobilenetv3_small__ep40__seed0__PLUS__mel__mobilenetv3_small__ep40__seed1\classification_report_test.txt
mel__mobilenetv3_small__ep40__seed0__PLUS__mel__mobilenetv3_small__ep40__seed1__PLUS__mel__mobilenetv3_small__ep40__seed2,./ensemble_models/final models,True,3,mel,mobilenetv3_small,8,733,730,3,3,0.996,0.996,0.996,0.996,0.998,./ensemble_models/final models\mel__mobilenetv3_small__ep40__seed0__PLUS__mel__mobilenetv3_small__ep40__seed1__PLUS__mel__mobilenetv3_small__ep40__seed2\classification_report_test.txt
wst1__resnet_small__ep40__seed0__PLUS__wst1__resnet_small__ep40__seed2,./ensemble_models/final models,True,2,wst1,resnet_small,8,733,133,600,600,0.181,0.023,0.125,0.038,0.500,./ensemble_models/final models\wst1__resnet_small__ep40__seed0__PLUS__wst1__resnet_small__ep40__seed2\classification_report_test.txt
wst1__resnet_small__ep40__seed1__PLUS__wst1__resnet_small__ep40__seed2,./ensemble_models/final models,True,2,wst1,resnet_small,8,733,143,590,590,0.195,0.273,0.140,0.066,0.508,./ensemble_models/final models\wst1__resnet_small__ep40__seed1__PLUS__wst1__resnet_small__ep40__seed2\classification_report_test.txt
mel__mobilenetv3_small__ep40__seed0,./ensemble_models/ensemble members,False,1,mel,mobilenetv3_small,8,733,728,5,5,0.993,0.994,0.991,0.992,0.995,./ensemble_models/ensemble members\mel__mobilenetv3_small__ep40__seed0\classification_report_test.txt
mel__mobilenetv3_small__ep40__seed1,./ensemble_models/ensemble members,False,1,mel,mobilenetv3_small,8,733,728,5,5,0.993,0.991,0.993,0.992,0.996,./ensemble_models/ensemble members\mel__mobilenetv3_small__ep40__seed1\classification_report_test.txt
